,信用(Y),銀行口座残高,ローン期間,前回のローンの状態,目的,ローン金額,貯金・株残高,雇用期間（ただいまの仕事）,収入に対しローンの割合,性別・婚姻状況,保証人,現住所に住んでいた期間,最も価値のあるアセット,年齢,その他のローン,住所タイプ,同銀行ローン数,職業,扶養者数,電話,労働形態
0,0,1,3,2,2,3,1,1,4,1,1,4,2,1,2,1,1,2,1,1,1
1,0,1,2,2,0,5,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1
2,0,2,2,1,6,2,2,3,2,1,1,4,1,1,2,1,1,1,1,1,1
3,0,1,2,2,0,4,1,2,3,2,1,2,1,2,2,1,2,1,2,1,2
4,0,1,2,2,0,4,1,2,4,2,1,4,2,2,1,2,2,1,1,1,2
5,0,1,2,2,0,4,1,1,1,2,1,3,1,3,2,1,2,1,2,1,2
6,0,1,2,2,0,5,1,3,1,2,1,4,1,2,2,2,2,1,1,1,2
7,0,1,1,2,0,3,1,1,2,2,1,4,1,3,2,2,1,1,2,1,2
8,0,3,3,2,3,3,1,1,4,1,1,4,3,5,2,2,2,1,1,1,1
9,0,2,4,1,3,5,3,1,1,1,1,4,4,1,2,1,1,1,1,1,1
10,0,1,2,2,0,5,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1
11,0,1,5,2,1,6,2,3,1,3,1,4,3,1,2,1,2,2,1,1,1
12,0,1,1,2,3,4,1,3,1,1,1,4,3,2,2,2,1,2,1,1,1
13,0,2,8,2,7,7,2,1,2,2,1,4,4,2,2,2,1,3,1,2,1
14,0,1,3,1,3,4,4,3,2,3,1,4,3,1,2,1,2,1,1,1,1
15,0,1,1,1,3,5,3,2,2,2,1,3,1,3,2,1,1,2,2,1,1
16,0,1,2,2,0,5,1,2,1,2,1,2,1,3,2,2,2,1,2,1,1
17,0,2,3,1,3,5,3,1,1,3,1,3,1,1,2,1,1,2,1,1,1
18,0,2,6,2,3,4,1,4,4,2,1,4,1,2,2,2,1,2,1,1,1
19,0,3,2,2,0,6,1,2,1,2,1,4,2,2,2,2,2,1,1,1,1
20,0,1,1,2,0,5,1,2,1,2,1,3,1,2,2,1,2,2,2,1,1
21,0,2,2,2,0,5,1,1,1,2,1,3,1,3,1,2,2,1,2,1,1
22,1,2,6,1,3,4,1,1,4,2,1,1,4,2,2,1,1,1,1,1,1
23,0,2,2,2,3,3,1,3,4,2,1,3,2,2,2,2,1,2,1,1,1
24,0,1,1,2,0,5,4,1,1,2,1,3,1,3,2,2,2,1,2,1,1
25,0,2,2,2,3,5,1,3,2,2,1,4,2,3,2,2,1,2,1,1,1
26,0,1,2,1,2,2,1,4,4,1,1,4,2,1,2,1,1,2,1,1,1
27,0,2,2,2,3,3,1,4,2,2,1,4,1,2,2,2,2,1,1,1,1
28,0,3,3,1,0,5,4,2,3,2,1,2,4,2,2,2,1,2,1,1,1
29,0,3,7,2,1,5,1,4,4,2,1,4,4,3,2,3,1,2,1,1,1
30,0,3,5,2,3,5,1,4,4,2,1,4,2,3,2,2,1,2,1,1,1
31,0,3,6,2,0,5,1,3,4,2,1,4,3,2,2,2,2,2,1,2,1
32,0,3,6,2,0,6,1,4,4,2,1,4,3,2,2,2,2,3,1,2,1
33,0,3,4,1,3,3,3,3,4,1,1,1,3,2,2,2,1,2,1,1,1
34,0,1,3,1,0,4,1,1,2,2,1,3,1,2,2,2,1,2,1,1,1
35,0,1,1,2,0,2,1,4,1,1,1,4,4,2,2,2,2,2,1,2,1
36,0,3,2,2,0,3,1,4,4,2,1,1,1,2,2,2,2,1,2,1,1
37,0,3,2,2,3,4,1,4,2,2,1,2,4,2,2,2,2,2,1,1,1
38,0,3,3,1,1,5,4,2,2,2,1,1,2,2,2,2,1,2,1,2,1
39,0,3,4,2,1,5,1,4,4,1,1,2,3,3,2,1,2,3,1,2,1
40,0,3,2,2,3,2,4,3,4,1,1,4,1,1,2,2,2,2,1,1,1
41,0,1,4,1,7,4,1,4,4,1,2,4,1,3,2,2,1,1,1,2,1
42,0,3,3,2,0,3,1,2,4,1,1,3,1,2,2,2,2,2,1,1,1
43,0,2,4,2,6,5,4,3,4,2,1,3,4,2,2,2,2,2,2,2,1
44,0,2,3,1,3,3,4,2,4,2,1,4,4,4,2,3,1,2,1,1,1
45,1,1,3,1,0,3,1,1,4,1,1,3,3,1,2,1,1,2,1,2,1
46,0,3,4,1,6,3,1,3,4,2,1,1,1,1,2,2,1,2,1,2,1
47,1,3,3,2,3,4,2,2,4,1,1,2,1,2,2,2,2,2,1,1,1
48,0,3,4,1,0,3,2,1,4,3,1,3,1,2,2,2,1,2,1,2,1
49,0,1,4,2,6,3,2,3,4,2,1,1,1,2,2,2,2,2,1,2,1
50,0,3,2,1,0,2,1,2,4,1,1,2,1,3,2,2,1,1,1,1,1
51,0,3,6,1,3,5,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1
52,0,3,2,2,0,3,1,2,3,2,1,1,1,2,2,2,2,2,1,1,1
53,0,3,2,2,3,4,4,4,1,2,2,4,1,3,2,2,1,2,1,2,1
54,0,3,4,1,1,6,4,4,3,2,1,4,3,3,2,2,1,3,2,2,1
55,0,1,2,2,3,1,1,3,4,1,1,3,1,3,2,2,2,1,1,2,1
56,0,3,2,2,3,4,1,4,2,2,1,4,1,4,2,2,2,1,1,2,1
57,0,1,3,1,3,3,1,1,4,3,1,2,1,2,2,2,1,2,1,1,2
58,0,3,4,1,3,5,4,4,4,2,1,3,2,3,2,2,1,2,1,2,1
59,0,3,6,1,0,5,4,2,4,2,1,4,1,2,2,2,1,2,1,1,1
60,0,3,2,2,0,3,3,2,4,2,1,4,1,3,2,2,1,2,1,2,1
61,0,3,4,1,1,5,1,1,4,1,1,1,4,2,2,2,1,3,1,2,1
62,0,3,8,2,3,5,4,4,4,2,1,1,1,3,2,2,1,2,1,2,1
63,0,3,6,2,0,8,1,4,2,2,1,2,3,3,2,2,2,2,2,2,1
64,0,1,2,2,0,3,1,2,4,2,1,2,1,3,2,2,2,1,2,1,1
65,0,3,1,2,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1
66,0,3,2,1,3,5,1,2,2,2,1,4,3,3,2,2,1,2,1,2,1
67,0,3,4,1,3,4,1,3,4,2,1,2,3,2,2,2,1,2,1,2,1
68,0,2,2,1,3,4,1,2,1,1,1,1,3,1,2,2,1,2,1,2,1
69,0,3,4,2,0,4,1,4,4,2,1,4,4,4,2,3,2,2,1,2,1
70,0,2,4,2,2,5,3,3,3,2,1,2,3,2,2,2,2,2,1,2,1
71,0,3,5,1,3,4,4,4,4,2,1,4,3,3,2,2,1,2,1,2,1
72,0,3,6,1,3,4,3,4,4,2,1,4,3,2,2,2,1,2,1,1,1
73,0,3,4,1,2,2,4,3,4,2,1,2,3,2,1,2,1,2,1,2,1
74,0,3,2,1,3,5,4,4,2,2,1,3,3,2,2,2,1,3,1,1,1
75,0,2,2,1,2,4,4,3,2,2,1,1,3,1,2,2,1,2,1,2,1
76,0,3,4,2,1,5,1,4,1,2,1,4,3,2,2,2,1,3,1,2,1
77,0,3,4,2,0,4,3,4,4,2,1,4,1,4,2,2,1,2,1,2,1
78,0,1,4,2,0,4,1,4,4,3,1,3,3,2,2,2,2,2,1,2,1
79,0,3,3,1,3,4,4,4,4,2,1,2,3,2,2,2,1,2,1,1,1
80,0,3,4,2,0,4,1,2,4,1,1,4,3,2,2,2,1,2,1,2,1
81,0,3,6,2,3,5,4,4,4,2,1,2,3,3,2,2,1,2,1,2,1
82,0,2,3,1,0,6,2,2,2,2,1,2,3,2,2,2,2,2,1,2,1
83,0,3,3,2,1,4,3,2,2,2,1,2,3,2,2,2,1,2,1,2,1
84,0,3,3,2,2,4,4,4,4,2,1,4,2,4,2,2,1,2,1,1,1
85,0,1,2,1,0,5,3,2,1,2,1,3,2,2,2,2,1,2,2,1,1
86,0,3,4,2,1,4,1,3,4,2,1,3,3,2,2,2,2,2,1,2,1
87,0,3,6,2,3,5,1,2,4,1,1,4,1,2,2,2,2,2,1,1,1
88,0,1,1,2,0,2,3,3,3,1,1,4,1,2,2,2,2,1,1,2,1
89,0,2,4,2,0,4,4,2,4,1,1,4,3,3,2,1,2,2,1,2,1
90,0,2,2,2,0,4,2,1,4,2,1,1,3,2,2,2,1,2,1,1,1
91,0,2,5,1,3,5,4,4,2,1,1,4,3,1,2,2,1,2,1,1,1
92,0,2,5,0,6,5,1,2,2,1,1,1,3,2,2,2,2,2,1,1,1
93,0,1,2,1,3,3,1,3,3,2,1,4,1,3,2,2,1,2,1,1,1
94,0,2,3,2,2,6,1,4,2,2,1,1,4,3,2,2,1,2,1,2,1
95,0,3,5,2,2,5,3,1,4,2,1,2,1,2,1,2,2,1,2,2,1
96,0,2,2,2,3,5,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1
97,1,2,6,2,6,5,1,2,2,1,1,2,1,2,1,2,2,3,1,2,1
98,0,1,2,1,2,4,1,2,3,2,1,2,1,1,2,2,1,2,1,1,1
99,0,2,7,2,6,6,1,3,2,1,1,1,1,3,1,2,2,1,1,1,1
100,0,3,4,2,2,5,3,2,4,2,1,4,1,3,2,2,1,2,1,2,1
101,0,1,3,1,6,2,1,2,4,1,1,4,2,1,2,2,1,1,1,1,1
102,0,2,4,2,6,5,4,2,4,2,1,2,2,2,1,2,2,3,1,2,1
103,0,2,6,2,0,6,1,2,2,1,1,2,2,3,2,1,1,2,1,1,1
104,0,3,4,2,3,4,1,3,4,3,2,2,3,2,2,2,2,2,1,2,1
105,0,3,4,1,0,3,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1
106,0,3,2,2,6,3,1,2,4,1,2,2,1,2,2,2,2,3,1,2,1
107,0,3,3,1,3,3,1,1,3,3,1,4,1,2,2,2,1,2,1,2,1
108,0,3,4,1,3,4,1,1,4,1,1,3,3,2,1,2,1,2,1,2,1
109,0,3,2,2,3,4,4,3,4,1,1,2,3,4,2,2,1,2,1,1,1
110,1,1,3,1,0,5,1,2,3,1,1,2,2,2,2,2,1,2,1,2,1
111,0,1,1,1,2,1,1,4,2,1,1,1,2,3,1,2,1,2,1,2,1
112,0,2,2,2,0,4,3,3,3,1,1,3,3,2,2,2,1,3,1,2,1
113,0,3,2,1,2,2,1,2,4,1,1,1,1,2,2,2,1,2,1,2,1
114,0,2,4,1,2,5,4,3,2,2,1,3,3,2,2,2,1,2,1,2,1
115,0,2,3,1,0,6,1,3,3,2,1,3,1,2,2,1,1,1,1,1,1
116,0,2,2,2,2,4,1,3,4,2,1,3,3,2,2,1,1,2,1,2,1
117,0,3,4,1,1,5,3,2,2,1,1,4,3,2,2,1,1,2,1,2,1
118,0,3,2,2,3,2,3,4,4,2,1,2,3,3,2,2,2,2,1,2,1
119,0,3,4,1,2,5,3,4,4,2,1,3,4,2,2,1,1,2,1,2,1
120,0,2,6,1,3,5,1,1,4,1,1,1,4,2,2,2,1,3,1,2,1
121,0,3,6,2,1,6,1,4,2,2,1,2,2,2,2,2,2,2,2,2,1
122,0,2,1,1,3,4,1,1,4,3,1,3,3,2,2,1,1,3,1,2,1
123,0,3,3,2,3,3,1,2,4,1,1,2,3,3,2,2,1,1,1,1,1
124,0,3,3,1,3,3,3,4,4,2,1,3,2,3,1,2,1,2,1,2,1
125,0,3,4,2,3,6,1,1,3,3,1,3,4,3,2,3,2,2,1,2,1
126,0,3,3,1,3,2,4,1,4,1,1,1,1,1,2,2,1,2,1,1,1
127,0,3,1,1,2,5,3,2,1,2,1,2,3,2,2,2,1,2,1,2,1
128,0,3,3,1,0,4,1,2,2,3,1,2,2,2,2,2,1,3,1,2,1
129,0,3,4,2,3,5,2,4,3,2,1,4,1,2,2,2,1,2,2,2,1
130,0,3,4,1,2,4,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1
131,0,3,3,1,2,5,1,2,3,2,1,4,1,3,2,2,1,2,1,2,1
132,0,3,1,1,2,4,1,2,2,2,1,2,1,3,2,2,1,2,1,2,1
133,0,3,3,1,3,3,1,1,3,1,1,1,1,2,2,2,1,2,1,1,1
134,0,3,2,1,0,3,1,2,2,1,1,4,3,4,2,2,1,2,1,2,1
135,0,3,1,1,2,4,3,2,4,1,1,2,1,2,2,2,1,2,1,1,1
136,0,2,2,1,0,3,3,4,4,2,1,4,1,3,2,2,1,2,1,2,1
137,0,1,4,0,0,4,2,3,2,2,1,3,3,2,1,2,1,2,1,1,1
138,0,2,1,2,5,2,4,3,1,1,1,3,2,2,2,2,2,1,1,1,1
139,0,3,4,2,3,5,4,2,3,2,1,2,3,2,2,2,2,2,1,2,1
140,0,3,6,1,3,5,4,4,2,1,1,4,1,3,2,2,1,1,1,2,1
141,0,3,2,1,3,5,4,4,1,2,1,4,1,4,2,2,1,1,1,1,1
142,0,2,4,1,3,6,4,4,2,1,1,4,3,3,2,2,1,2,1,2,1
143,0,3,2,2,2,4,1,1,2,2,1,3,3,2,2,2,1,3,1,1,1
144,0,3,6,1,3,4,4,2,4,1,1,4,3,1,2,2,1,2,1,1,1
145,0,3,4,1,1,4,4,4,4,2,1,4,1,3,2,2,1,3,1,2,1
146,0,1,4,1,1,5,4,4,4,2,1,4,4,3,1,3,1,2,2,2,1
147,0,1,2,1,2,3,4,4,2,1,1,4,2,3,2,2,1,1,1,2,1
148,0,3,2,1,6,4,1,3,2,2,1,4,3,2,2,2,1,2,1,2,1
149,0,2,4,2,3,4,1,4,4,2,1,2,2,3,2,2,2,1,1,1,1
150,0,3,2,0,3,1,3,2,3,1,1,3,1,3,2,1,2,2,1,1,1
151,0,3,2,1,3,4,1,1,2,1,1,2,3,2,1,2,1,2,1,1,1
152,0,3,8,2,1,7,4,3,2,2,1,1,4,2,2,3,2,2,1,2,1
153,0,2,4,1,0,5,2,3,2,2,1,3,3,2,1,2,2,2,1,2,1
154,0,2,2,1,3,3,3,2,3,1,1,1,3,2,2,2,1,2,1,2,1
155,0,3,4,2,3,5,1,2,4,2,1,2,1,2,2,2,2,1,1,1,1
156,0,1,2,1,3,3,1,2,4,1,1,1,3,1,1,2,1,2,1,1,1
157,0,3,5,2,3,6,1,3,3,2,2,2,3,2,2,2,1,2,1,1,1
158,1,2,8,0,6,6,1,4,4,1,1,3,4,3,2,1,1,2,1,1,1
159,0,2,2,2,2,5,1,4,1,2,1,4,3,2,2,1,2,2,1,2,1
160,0,3,2,2,3,3,1,2,4,1,1,2,2,2,2,2,2,2,1,1,1
161,0,3,4,2,6,3,3,2,2,1,1,4,1,2,2,2,2,2,1,2,1
162,0,3,4,1,2,5,1,3,2,1,1,4,2,1,2,1,1,2,1,2,1
163,0,3,3,2,2,5,1,2,4,2,1,2,4,2,2,3,1,2,1,2,1
164,0,3,3,1,3,1,1,1,4,1,1,4,2,1,2,1,1,2,1,2,1
165,0,3,2,2,0,4,1,2,4,2,1,4,3,3,2,2,2,2,1,2,1
166,0,3,5,2,3,6,1,3,4,1,1,2,3,1,2,2,2,2,1,1,1
167,0,3,4,2,6,5,1,2,3,2,1,2,1,5,2,2,1,3,1,2,1
168,0,3,3,2,2,5,1,3,2,1,2,3,3,1,1,2,2,2,1,1,1
169,0,3,1,2,3,3,1,2,1,1,1,1,3,2,2,2,2,2,1,2,1
170,0,3,6,1,3,6,1,2,4,2,1,1,3,1,2,2,1,2,1,1,1
171,1,1,2,1,0,3,1,2,4,1,1,2,1,1,2,2,1,1,1,1,1
172,0,3,2,1,3,3,1,2,3,3,1,4,1,1,2,1,1,2,1,1,1
173,0,3,4,1,3,4,1,3,3,2,1,1,3,2,1,2,1,2,2,1,1
174,0,3,2,1,3,4,1,3,4,2,1,2,3,2,2,1,2,3,2,2,1
175,0,3,4,1,3,5,3,4,3,1,1,2,3,2,2,2,1,3,1,2,1
176,0,3,4,2,6,5,2,2,3,2,1,3,2,2,2,2,2,1,1,2,1
177,0,2,2,2,1,4,2,1,3,2,1,4,2,3,2,2,1,2,1,1,1
178,0,3,3,1,6,4,1,3,4,2,1,1,3,2,1,2,2,2,1,2,1
179,0,3,8,2,3,8,3,3,4,2,1,1,3,2,2,2,1,3,1,2,1
180,0,3,2,1,3,3,1,1,1,1,1,4,1,1,2,1,1,2,1,2,1
181,0,3,3,2,0,3,1,1,4,1,1,1,2,2,2,2,2,2,1,1,1
182,0,1,5,0,6,7,4,1,2,2,1,3,3,1,1,2,2,2,1,1,1
183,0,3,5,2,3,5,1,2,4,1,1,2,3,2,2,2,1,2,1,2,1
184,0,3,2,1,6,3,1,3,3,1,1,2,3,2,2,2,2,2,1,1,1
185,0,3,6,1,6,6,2,3,2,2,1,2,3,2,2,2,2,2,1,2,1
186,0,3,2,1,0,4,4,4,4,2,1,3,3,3,2,2,1,2,1,2,1
187,0,3,4,1,3,5,3,4,3,2,1,2,3,2,2,2,1,2,2,2,1
188,0,2,6,1,3,4,1,3,3,2,1,1,3,2,2,2,2,2,2,1,1
189,0,3,4,1,0,5,2,2,1,1,1,1,3,2,1,2,1,3,1,2,1
190,0,3,4,1,3,4,2,2,4,2,1,4,3,2,2,1,1,3,1,2,1
191,0,2,6,1,3,5,4,2,2,3,1,2,3,2,2,2,1,2,1,1,1
192,0,2,8,1,0,7,4,3,1,1,1,2,3,1,2,2,1,2,1,1,1
193,0,3,4,1,0,4,4,1,4,2,1,1,2,3,2,2,1,2,1,1,1
194,0,3,2,1,3,3,1,2,3,2,1,2,3,1,2,2,1,2,1,1,1
195,0,3,6,2,1,6,1,3,3,2,1,2,3,2,2,2,2,3,1,2,1
196,0,3,1,2,0,6,1,3,1,2,1,3,4,3,2,2,2,3,2,2,1
197,0,3,3,2,2,4,1,2,4,1,1,2,4,2,2,2,2,2,1,1,1
198,0,3,2,1,3,4,2,3,3,2,1,1,4,2,2,2,1,2,1,1,1
199,0,3,8,0,6,5,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1
200,0,3,5,1,3,4,3,4,4,2,1,2,3,2,1,2,1,3,1,1,1
201,0,3,5,0,1,7,4,1,3,2,2,4,1,3,1,1,2,2,2,2,1
202,0,3,3,0,3,3,4,3,4,2,1,4,3,3,1,2,1,1,1,1,1
203,0,1,4,1,2,7,4,1,1,1,1,2,2,2,2,2,1,2,1,2,2
204,0,1,4,1,0,5,4,3,2,2,2,2,1,1,2,2,1,1,1,1,2
205,0,2,3,1,6,5,1,4,1,2,2,1,1,2,1,2,1,3,1,2,1
206,0,1,2,1,3,3,1,2,2,2,1,2,1,1,2,1,1,3,2,2,1
207,0,2,3,1,3,3,4,1,4,2,1,1,2,1,2,2,1,2,1,1,1
208,0,2,8,0,0,8,4,1,4,2,2,4,4,2,2,3,1,3,1,2,1
209,0,3,2,1,3,5,2,4,3,2,2,4,3,2,2,2,1,2,1,2,1
210,0,3,1,1,0,3,4,1,1,2,1,2,1,2,2,2,1,1,2,1,2
211,0,1,4,0,2,5,3,2,4,2,1,4,1,1,1,2,1,2,1,2,1
212,0,1,4,0,2,4,3,2,4,2,1,4,1,1,1,2,1,2,1,2,1
213,0,3,1,2,0,3,1,2,1,2,1,1,1,5,2,2,2,1,2,1,2
214,0,2,2,1,0,4,4,1,4,2,1,2,1,2,2,2,1,1,1,1,1
215,0,3,2,1,0,5,1,1,1,2,2,1,2,2,2,2,1,1,2,1,1
216,0,3,2,1,1,5,4,1,1,1,1,4,1,2,2,1,1,2,1,1,1
217,0,3,1,1,0,2,3,1,2,3,1,2,1,2,2,2,1,1,1,1,2
218,0,1,8,1,0,8,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1
219,0,3,2,1,0,3,4,4,4,2,2,2,2,3,2,2,1,1,1,1,2
220,0,1,3,0,3,4,1,1,3,2,2,4,4,2,1,3,1,3,1,2,1
221,0,3,5,2,3,5,4,4,4,2,1,4,2,3,1,2,2,1,1,1,1
222,0,3,4,2,1,5,1,3,3,2,1,3,3,2,2,2,2,1,1,2,1
223,0,3,5,2,1,7,3,2,2,2,1,2,3,2,2,2,2,2,1,1,1
224,0,1,3,1,2,5,3,2,4,2,1,2,3,2,2,2,1,2,1,1,1
225,0,3,4,2,3,4,3,2,4,1,1,1,1,3,2,2,2,1,1,1,1
226,0,1,3,1,0,5,2,2,3,2,1,4,3,2,2,2,1,1,2,2,1
227,0,3,3,2,0,2,1,2,4,2,1,2,3,2,2,2,2,1,1,1,1
228,0,3,4,1,6,4,3,4,4,1,1,4,1,2,1,2,1,1,1,1,1
229,0,2,8,0,6,5,2,3,4,2,1,2,3,2,2,2,1,2,1,1,1
230,0,3,4,1,3,3,1,4,4,2,1,1,1,2,2,2,1,3,1,2,1
231,0,3,1,0,3,1,1,4,4,3,1,4,3,2,2,2,1,1,1,1,1
232,0,3,7,1,1,7,2,4,4,2,1,2,3,3,2,2,1,3,1,2,1
233,0,1,5,1,1,5,1,2,4,1,1,4,2,3,2,2,1,3,1,2,1
234,1,2,2,1,0,2,1,3,2,3,1,3,3,1,1,2,1,1,1,1,1
235,0,1,4,1,3,4,1,4,4,1,1,4,3,3,2,2,1,2,1,1,1
236,0,3,4,1,2,4,1,4,4,2,1,2,1,3,2,2,2,2,1,1,1
237,0,1,4,1,3,4,1,4,4,2,1,4,1,4,1,1,1,1,1,1,1
238,0,3,1,1,2,2,1,1,1,1,1,3,1,1,2,1,1,1,2,1,1
239,0,3,7,1,1,5,3,2,4,2,1,4,3,1,2,2,1,2,1,1,1
240,0,3,3,2,3,3,3,2,2,3,1,2,2,3,2,2,2,1,1,1,1
241,0,3,10,1,0,8,1,4,2,2,1,4,2,3,2,2,1,3,1,2,1
242,0,3,3,1,6,4,2,2,3,1,1,4,2,1,2,1,1,1,1,1,1
243,0,3,3,2,3,2,3,4,4,2,1,3,2,2,1,2,2,3,1,2,1
244,0,3,1,0,3,4,3,4,2,2,1,4,2,3,1,2,1,1,2,1,1
245,0,3,4,1,1,5,2,3,3,1,1,4,3,1,2,2,1,2,1,1,1
246,0,3,3,2,3,4,1,2,4,2,1,2,3,1,2,2,2,2,1,1,1
247,0,3,4,2,2,5,2,2,2,2,1,3,2,2,2,2,2,2,1,1,1
248,0,2,3,1,3,5,2,2,3,1,1,2,1,1,2,2,1,1,1,1,1
